VENDOR,PARTNUMBER,DESCRIPTION,LOCATION,QUANTITY,CONDITION
ERICSSON,ROJR211004/1,NPU3,150122PILv,3,USED
HUAWEI,03020PLX,NO REFERENCE,150122PILv,2,USED
HUAWEI,03030CVA,NO REFERENCE,150122PILv,2,USED
HUAWEI,03054332,NO REFERENCE,150122PILv,2,USED
HUAWEI,131.8822/02.02,NO REFERENCE,150122PILv,2,USED
DELL,0235G7MQ,SERVER,150122PILv,2,USED
NOKIA,3AL36306AA,1660 SM Rel.5 HPROT (15+1),150122PILv,2,USED
HUAWEI,03030GNB,2-Port 10GBase LAN-XFP Line Processing Unit E CR52,150122PILv,2,USED
HUAWEI,02351304,HUAWEI INTEGRATED SHELF,150122PILv,2,USED
HUAWEI,03030AVG,HUAWEI N1 SLQ16,150122PILv,2,USED
HUAWEI,03020AXQ,Undefined Board,150122PILv,2,USED
CITRIX,MPX9700/10500/12500,MPX 9700/10500/12500/15500,150122PILv,2,USED
HUAWEI,03054089,NO REFERENCE,150122PILv,1,USED
HUAWEI,27020197,HAS0727N300L-03 Power Splitter ,150122PILv,1,USED
LS,3WAY-1000-DF,3 WAY-1000-DF,150122PILv,1,USED
HUAWEI,03020NDF,MA5600 DSLAM 32-port VDSL2 Service Board,150122PILv,1,USED
HUAWEI,03030CNB,SS-SL64A(I-64.2 LC) /STM-64 Optical Interf,150122PILv,1,USED
HUAWEI,03534710,SSE1M4002-CE M40 BOARD,150122PILv,1,USED
HUAWEI,SSN1EGT201,SSN1EGT201 -2Port Gigbit ETTB,150122PILv,1,USED
HUAWEI,03030BCA,SSN1MST401,150122PILv,1,USED
HUAWEI,03020CMA,Undefined Board,150122PILv,1,USED
ERICSSON,ROJ208385/1,( 22P ) EXB5,150122PILv,1,USED
ERICSSON,ROJR208012/1,ETU 2B,150122PILv,1,USED
ERICSSON,ROJR211002/1,NPU2,150122PILv,1,USED
CITRIX,MPX7500/9500,NETSCALER MPX 7500/9500 Load Balancer - w/o HDD,150122PILv,1,USED
CITRIX,MPX17000-15000,QUAD CORE CPU - 32GB RAM 2 AC ; MPN: MPX 17000/1500,150122PILv,1,USED
HUAWEI,02310UMD,SERVER E9000 SHELF Module(6*AC POWER 14*FAN B,150122PILv,0,USED
SUMITOMO,S-1.1,SCP6801-A1-ZW,150122PILv,0,USED
HUAWEI,02310BTQ,N/A,150122PILv,0,USED
AGISSON,ATA212001,DTMA21 007 2100 12dB AISG2 0 ATA212001,150122PILv,0,USED
HUAWEI,03051488,BSC 33 FG2a FG2A = PACKET OVER  8-PORT FE OR 2-PORT,150122PILv,258,USED
HUAWEI,03030NTD,TNM1PCXLX1606 STM-16 HYBRID SYSTEM CONTROL AND CROSS-CONNECT BOARD,150122PILv,234,USED
HUAWEI,03020FAT,H56-SHEB-32-port SHDSL.BIS Service Board,150122PILv,80,USED
NOKIA,3AG24150AA,Board LA20,150122PILv,73,USED
OTHER,SCP6G01-GL-BWH,SFP,150122PILv,48,USED
NOKIA,S30813-Q426-X901-4/01,Board,150122PILv,47,USED
HUAWEI,03020GFM,TN71L12,150122PILv,35,USED
NOKIA ,3HE03078AA,7750 SR MDA-1 PORT CH OC3/STM1 CES,150122PILv,34,USED
HUAWEI,03020PQY,NO REFERENCE,150122PILv,33,USED
HUAWEI,03030GBP,TN11OBU103 C-BAND Optical Booster Card(MAX -3dBm IN and 20dBm OUT Gain 23dB),150122PILv,29,USED
HUAWEI,03020GBS,TN8D000D1200 32 x E1 120-ohm Electrical Interface Board.,150122PILv,26,USED
HUAWEI,03020MWY,LPUF-40-A FLEXIBLE CARD LINE PROCESSING UNIT 2 SUB-SLOTS,150122PILv,24,USED
HUAWEI,03053845,NO REFERENCE,150122PILv,23,USED
HUAWEI,03020GAJ,PTN 3900,150122PILv,20,USED
HUAWEI,03020GGB,TN81POD41,150122PILv,19,USED
HUAWEI,03020NFT,OPTIX PTN3900 -CROSS-CONNECT AND SYNCHRONOUS TIMING UNIT -XCS,150122PILv,17,USED
HUAWEI,03030ESS,TN11OBU101 OSN 6800 C-BAND Optical Booster Unit ,150122PILv,17,USED
NOKIA,3AG24328AA,1678 MCC LX 160 LO Centerstage MATRIX Board 160 Gb,150122PILv,14,USED
HUAWEI,03030HUT,OPTIX PTN 3900 -TN81MQ101 -63 CH E1 MIXED SUB-BOARD,150122PILv,13,USED
HUAWEI,03054581,AE31SMME0 Chassis Management Module 2,150122PILv,11,USED
ERICSSON,ROJ208831/2,PRINTED Board ASSEMB/GEP2-8-E1/T1,150122PILv,11,USED
HUAWEI,03030FXJ,TN11OAU103 OSN 6800 -TN11OAU103 -C-BAND OPTICAL AMPLIFIER UNIT(MAX -4DBM IN AND 20DBM OUT -GAIN 24,150122PILv,10,USED
HUAWEI,03030DTX,TN11SC201 03030DTX Optix OSN 6800 TN11SC2,150122PILv,10,USED
HUAWEI,03020FEX,10Gigabit Ethernet Proc Board,150122PILv,10,USED
HUAWEI,03051821,Board GS3GE,150122PILv,10,USED
NOKIA,8DG02822AA,SSY - EQUIPMENT CONTROLLER (TSS-100),150122PILv,8,USED
HUAWEI,03030DUA,TN11ROAM01,150122PILv,8,USED
HUAWEI,03039289,TN7D000PIU00 Power Interface Board PTN 1900,150122PILv,7,USED
ERICSSON,an00231477,1600 128X128 STM-1 SWITCH,150122PILv,6,USED
HUAWEI,03020FQG,DBS3800 -WD22UFLP -Universial FE Lighting Protection,150122PILv,5,USED
HUAWEI,02231GJH,WD2M00EEUM00 Embedded Environment Monitoring Unit,150122PILv,5,USED
HUAWEI,03030HYA,C-BAND OPTICAL AMPLIFIER UNITMAX 0DBM INAND 23DBM OUT -GAIN 23~34DB,150122PILv,4,USED
HUAWEI,03020AGQ,TN11PIU /Power Interface Board,150122PILv,4,USED
HUAWEI,03030KHJ,TN72CXP01 CONTROL SYSTEM AND CROSS-CONNECTOR AND MULTI-PROTOCOL PROCESSOR BOARD,150122PILv,4,USED
HUAWEI,03020UKW,SSR1SLQ103 - 4xSTM-1 Optical Interface Board,150122PILv,3,USED
HUAWEI,03030ETC,TN11FIU OSN 8800 Fiber Interface Board,150122PILv,3,USED
HUAWEI,03020LGV,KW3D00EECA01,150122PILv,2,USED
HUAWEI,03033991,SSE1SCC01 System Control&Communication Board,150122PILv,2,USED
HUAWEI,02300549,SSEK5AFB OPTIX 1600 Chassis,150122PILv,2,USED
HUAWEI,03030ETS,4*OC-3c/STM-1 POS-SFP Optical Interface LPU,150122PILv,1,USED
HUAWEI,03020RFR,SSND0SLQ1640 4xSTM-16 Optical Interface Board,150122PILv,1,USED
HUAWEI,02310QXA,MPW800-48A-1 -AC/DC POWER  Module,150122PILv,0,USED
HUAWEI,03020UGQ,TNH2SL4D - 2*STM-4 Optical Interface Board,150122PILv,0,USED
ALBRIGHT,SW250A-1004-60V,CONTACTOR,150122PILv,331,USED
ALBRIGHT,SW150A-100460V,Albright SW150A-1004 60V  Bara contactor,150122PILv,81,USED
ALBRIGHT,SW260-47M,Albright SW260-47M 60V  BUSBAR CONTACTOR,150122PILv,45,USED
ALBRIGHT,RU80F-5009M,Low Voltage Contactor,150122PILv,44,USED
ALBRIGHT,SU80F-5056M,CONTACTOR,150122PILv,31,USED
ALBRIGHT,SW280-47M48V,Albright SW280-47M 48V DC CONTACTOR,150122PILv,27,USED
ALBRIGHT,SU80-5056FM,Albright SU80-5056FM 60V CONTACTOR,150122PILv,23,USED
ALBRIGHT,CZJ-300S/48-48AL,CONTACTOR,150122PILv,16,USED
ALBRIGHT,SW300-1004M,Albright SW300-1004M 48/60V  CONTACTOR,150122PILv,13,USED
OTHER,ZJW350CDC,ZJW350C DC CONTACTOR,150122PILv,10,USED
OTHER,ZJW250CDC,ZJW250C DC CONTACTOR,150122PILv,7,USED
TIANSHUI,GSZ2-200S/DC48V,Tianshui GSZ2-200S/DC48V DC Contactor,150122PILv,4,USED
OTHER,ZJW-350/48V,CONTACTOR 48,150122PILv,4,USED
OTHER,RV300-5009M,CONTACTOR 60V,150122PILv,3,USED
ZHEJIANG D,ZLJM-200C/48A1.S,ZLJM-200C /48A1.S DC Contactor,150122PILv,2,USED
ALBRIGHT,SW560-45M,Albright SW560-45M 60V BUSBAR CONTACTOR,150122PILv,2,USED
ALBRIGHT,CZJ-150S/48-48AL,CONTACTOR,150122PILv,2,USED
OTHER,GSZ2-200SB/DC,CONTACTOR 48,150122PILv,1,USED
OTHER,CZJ-500S,CONTACTOR 48V,150122PILv,1,USED
METEK,JBA4607EB0C200A60V,METEK JBA4607EB0C 200A 60V DC Contactor,150122PILv,1,USED
METEK,JBB4602DB00200A48V,METEK JBB4602DB00 200A 48V DC Contactor,150122PILv,1,USED
GUIZHOU,MZJ-50D/60.48A,MZJ-400S/48 48A5 DC Contactor,150122PILv,1,USED
ALBRIGHT,SW800-53M-60V,CONTACTOR,150122PILv,1,USED
COMBA,RX9123,Digital Channel Selective Repeater 3G,150122PILv,17,USED
LS,LSRPT0900100A,Band Selective Pico Repeater 10 dBm - LS,150122PILv,4,USED
COMBA,RD9132,GSM Digitally Adjustable Band Selective Repeater 3,150122PILv,1,USED
COMBA,SP2110,REPEATER 2100MHZ 3G ,150122PILv,1,USED
OTHER,TILTBRACKET,Antenna TILT Apparatus ,150122PILv,10,USED
TURKCELL,KRN-IAP-LX,IAP LX Appliance [AC Power] - with No License,150122PILv,1,USED
SATELCOM,21212,SAME BAND COMBINER 7/16 2100MHZ,150122PILv,96,USED
COMBA,SBC-21,SAME BAND COMBINER 2100MHZ,150122PILv,45,USED
TONGYU,TYT-C122D001,DUAL BAND Combiner,150122PILv,3,USED
LS,SP300156R,2-WAY Splitter SPT,150122PILv,264,USED
LS,TA30015R-10,10DB-500-DF,150122PILv,107,USED
BARAN,52070AOB,Frecoling Control Unit Baran,150122PILv,24,USED
EPM PAPST ,52060ADI,FCS3 Free Cooling Unit,150122PILv,15,USED
TONGYU,TY-ICUB20,RET,150122PILv,12,USED
LS,TA300156R-10,10 DB-500-DF,150122PILv,8,USED
PROTECH,52070APG,Freecooling FCCX 048 Protech PTE,150122PILv,6,USED
Motorola,SVLF9150G,Motorola 900 Mhz Duplexer Filter,150122PILv,5,USED
Motorola,SWHN9127B,Chassis FAN Module ROHS ASSY,150122PILv,3,USED
MARCONI,AN00231484,ALARM LTU,150122PILv,3,USED
DATAKOM,D500-GPRS-COMM,Control UNIT,150122PILv,3,USED
RAD DATA,RAD_UCI_HS,MODEM,150122PILv,2,USED
Motorola,SVLF9150D,BTS,150122PILv,1,USED
ROSENBERGE,DC-10-7F-NF-01,10 DB COUPLER TAPPER ROSENBERGER,150122PILv,1,USED
QUIQCELL,QS-3W-1F-NF-00,3 WAY SPLITTER ,150122PILv,1,USED
NETOPTICS,RGND-GCU-S4,Network tap,150122PILv,1,USED
Motorola,SVLN8470AB,Chassis ROHS ASSY HLCA28RX,150122PILv,1,USED
Motorola,SYWF4876G,Motorola GSM 900  CTU2D 900 2G,150122PILv,1,USED
LS,MUL082244A,LS 4x4 Hybrid Matrix Combiner MCM - 800~2200MHz - N,150122PILv,1,USED
KAREL,51130AKS,IP CAMERA RF,150122PILv,1,USED
Motorola,SVPN9142C,POWER -48 / -60 VDC CONVERTER,150122PILv,4,USED
DELTA,DPS-72,POWER,150122PILv,2,USED
CISCO,DS-SFP-FC8G-SW,8 Gbps Fibre Channel SW SFP+ - LC.,150122PILv,599,USED
ERICSSON,RDH10247/2,OPTICAL Transceiver/TRX SM CPRI 614.4-24,150122PILv,454,USED
CISCO,GLC-SX-MM,SFP,150122PILv,440,USED
NOKIA,3HE00027CA,SFP - GIGE SX - LC ROHS 6/6 DDM -40/85C,150122PILv,309,USED
FINISAR,FTLF8519P2BNL-HW,SFP,150122PILv,309,USED
SUMITOMO,S-1.1DDMW,SFP OPTICAL 1AB194670007,150122PILv,301,USED
FINISAR,FTLF1323P1BTR,SFP,150122PILv,299,USED
HUAWEI,034060365,"eSFP(S)-850nm-FC400 MM Optical Transceiver -eSFP -850nm -4.25G multi-rate --9dBm~-1.5dBm --15dBm -LC -MM -0.3km.
",150122PILv,288,USED
CISCO,SFP-10G-SR,10GBASE-SR SFP Module,150122PILv,264,USED
SUMITOMO,1AB194670007,SFP OPTICAL SDH Optical SFP S-1.1DDMW,150122PILv,228,USED
CISCO,GLC-SX-MM-COM,SFP,150122PILv,218,USED
NOKIA,1AB196370001,SCP6808-A1-ZM,150122PILv,188,USED
NOKIA,3HE00062AA,SFP RJ45 SFP  Module - 1000Base 10/100/1000 RJ45 100,150122PILv,174,USED
NOKIA,1AB196370013,SFP 1678 MCC I-16.1 Optical SFP Transceiver,150122PILv,165,USED
NOKIA,3HE00028AA,SFP 7750 SR / 7210 SAS SFP - GIGE LX OPTIC Module,150122PILv,164,USED
DELTA,RTXM139-400,SFP,150122PILv,159,USED
HUAWEI,S4015755,eSFP-FE-LX-SM1310 Optical Transceiver (eSFP -1310nm -STM1 --15dBm~-8dBm --28dBm -Singlemode -LC -15Km NE20E-S8 NE08E,150122PILv,155,USED
CISCO,DS-SFP-FC4G-SW,4 Gbps Fibre Channel-SW SFP - LC,150122PILv,153,USED
NOKIA,3HE00027AA,7750 SR / 7210 SAS SFP - GIGE SX SFP Optic Module ,150122PILv,147,USED
ERICSSON,RDH10252/7,QSFP+ 40GBASE-SR4 850nm,150122PILv,127,USED
CISCO,10-2566-02,SFP Optical 10GB + Fabric Extender Transceiver,150122PILv,101,USED
JUNIPER,740-031980,10GBASE-SR,150122PILv,91,USED
CISCO,XFP-10G-MM-SR,10GBASE-SR XFP Module,150122PILv,88,USED
HUAWEI,034060276,eSFP-FE-LX-SM1310 Optical Transceiver -eSFP -1310nm -STM1 --15~-8dBm --28dBm -LC -SM -15km.,150122PILv,88,USED
ERICSSON,RDH90120/49800,SFP-T FCLF-8521-3-ER RJ45 copper 100m 1000BASE-T,150122PILv,86,USED
HP,455885-001,HP 10Gb Sr Sfp+ ,150122PILv,85,USED
HUAWEI,034060607,OMV010N02 Optical Transceiver -SFP+ -850nm -6.144G --9dBm --1dBm --11.1dBm -LC -MMF  -0.12km,150122PILv,82,USED
CISCO,SFP-GE-S,CISCO 1000BASE-SX SFP (DOM),150122PILv,79,USED
AVAGO,SP-03-IR1-IDFH,SFP,150122PILv,74,USED
HUAWEI,034060286,OPTICAL TRANSCEIVER -ESFP -850NM -2.125GB/S(MULTI RAT,150122PILv,71,USED
FINISAR,FTLF8524P2BNL,SFP Finisar 4GB 850nm SFP Optical Transceiver Module,150122PILv,67,USED
CISCO,GLC-LH-SM,SFP,150122PILv,61,USED
HUAWEI,034060473,eSFP-1310nm-1000Base-Lx SM Optical transceiver -eSFP -1310nm -1.25Gb/s --9~-3dBm --20dBm -LC -Single Mode -10km.,150122PILv,61,USED
SUMITOMO,1AB194670004,SFP 155MBase Optical-3c/STM-1 IR LC - 15 Km - 1310NM,150122PILv,57,USED
JDSU,PLRXPL-VE-SG4-62-N,SFP JDSU 4.25GB/s · Wavelength: 850nm OPTICAL,150122PILv,54,USED
,CFP2-100G-LR4,CFP2-100G-LR4-SFP MODULE,150122PILv,52,USED
HUAWEI,034060494,OMXD30001 Optical transceiver -SFP+ -850nm -10Gb/s --7.3~-1dBm --9.9dBm -LC - MM -0.3km.,150122PILv,51,USED
HUAWEI,02315205,Optical Transceiver -eSFP -100M/155M -Single-mode Module(1310nm -15km -LC),150122PILv,50,USED
HP,453154-B21,SFP,150122PILv,49,USED
JUNIPER,740-011614,LX10 1000BASE-LX SFP Transceiver,150122PILv,47,USED
CISCO,X2-10GB-SR,CISCO 10GBASE-SR X2 Module,150122PILv,45,USED
NOKIA,S-1.1DDM,SFP,150122PILv,44,USED
AVAGO,ABCU-5710RZ,SFP,150122PILv,43,USED
FINISAR,FTLF8528P2BCV-QL,SFP OPTICAL8GB Multi-Mode Fiber 150m 850nm SFP Mod,150122PILv,43,USED
NOKIA,3HE00035CA,SFP - OC-3/STM-1 IR-1 R6/6 DDM -40/85C,150122PILv,43,USED
HUAWEI,034060290,eSFP(S)-1310nm-1000Base-Lx Low Speed Transceiver -eSFP -1310nm -1.25Gb/s --9dBm --3dBm --19dBm -LC(-40~85) -10km,150122PILv,42,USED
HP,FTLF8528P2BNV-HP,HP TRANSCEIVER 8GB SHORT WAVE FIBRE CHANNEL FC SFP+ OPTICAL ,150122PILv,40,USED
WTD,RTXM191-550,3 WTD Transceiver Module RTXM191-550 1250m-550m-850nm-MM-ESFP,150122PILv,40,USED
CISCO,10-1989-03,XFP-10GLR-OC1925R 10GBase-LR OC192SR Fiber Optic SFP Transceiver,150122PILv,39,USED
HUAWEI,02310MNW,SFP-10G-USR  10GBASE-USR OPTICAL Transceiver -SFP+ -,150122PILv,37,USED
OTHER,MXPD-243S,HUAWEI 1250Mbps SFP Transceiver - LC Connector P/N 2315200,150122PILv,37,USED
CISCO,10-1838-04,XENPAK-10GB-LR,150122PILv,35,USED
GENUINE,MXPD-033S-F,SFP,150122PILv,33,USED
FINISAR,FTLF1428P2BNV-IB,SFP,150122PILv,32,USED
HP,AFBR-57R6AEZ-HP,SFP,150122PILv,30,USED
HG GENUINE,MXPD-033S,SFP,150122PILv,30,USED
HUAWEI,S4017456,OSN010N04 Optical transceiver -CFP -1295/1300/1304/1309nm -103.125Gbps --4.3dBm -4.5dBm --8.6dBm -LC -SMF -10km,150122PILv,29,USED
NOKIA,3HE00564CA,XFP-10E LR-LC,150122PILv,29,USED
ERICSSON,RDH901007/1,SFP XFP-10GE-SR 850NM MMF FTLX8512D3BTL-EQ ,150122PILv,28,USED
NOKIA,3AL91790AA,1660 SM S-1.1 OPTIC.INTER. LC connector,150122PILv,28,USED
CISCO,SFP-OC3-SR,CISCO OC3/STM1 SFP - Single-mode fiber - Short Reach,150122PILv,27,USED
NOKIA,1AB214540001,XFP I-64.1/10GBE BASE L,150122PILv,27,USED
CISCO,10-2205-05,10G CISCO X2-10GB-SR 10GBASE-SR X2 MODULE,150122PILv,27,USED
ERICSSON,RDH10250/3,OPTICAL Transceiver / SFP 10 GB-LR,150122PILv,26,USED
AVAGO,AFBR-57F5M2-ELX,SFP,150122PILv,25,USED
AVAGO,AFBR-709ASMZ,SFP 850nm laser Prod 21cfr,150122PILv,24,USED
NOKIA,1ab187280033,FTM-8120C-L-AT,150122PILv,24,USED
HUAWEI,PLRXPL-SC-S43-22-N,HUAWEI OMXD30000 10G  SFP+.,150122PILv,23,USED
OTHER,TRF5426AMLB309,100BASE LX-10,150122PILv,23,USED
ERICSSON,RDH90120/20213,SFP S.1.1 1310nm OPTICAL,150122PILv,22,USED
CISCO,10-2410-02,SFP,150122PILv,21,USED
FINISAR,FTLF8524P2BNV-E6,SFP,150122PILv,21,USED
HUAWEI,PT7320-31-1W,100M single-mode optical module SFP 155M 1310NM 15KM,150122PILv,21,USED
AVAGO,AFBR-57DFAPZ-E2,SFP,150122PILv,20,USED
FINISAR,FTLF8529P3BCV-EM,SFP,150122PILv,20,USED
HUAWEI,034060487,eSFP-1310nm-1.25G-10km - Optical Transceiver -eSFP -1310nm -1.25Gb/s --9.5~-3dBm --20dBm -LC -SM -10km.,150122PILv,20,USED
HUAWEI,034060787,OSC015N00 Optical Transceiver -eSFP -1310nm -STM1 --15~-8dBm --31dBm -LC -SM -15km,150122PILv,20,USED
JUNIPER,740-057909,SRX SFPP-10G-LR SMF 1310nm,150122PILv,19,USED
FINISAR,FCLF-8521-3,Tx/Rx Optical Fiber 1.25Gbps 20-Pin,150122PILv,19,USED
AVAGO,AFBR-57M5APZ,SFP,150122PILv,18,USED
FINISAR,FTLX8571D3BCL,Transceiver - 840nm Min - 860nm Max - 10500Mbps(Tx) - 10500Mbps(Rx) - LC Connector,150122PILv,18,USED
FINISAR,FTLF8529P3BNV-HP,SFP,150122PILv,18,USED
HUAWEI,034060521,8GB 850NM 0.15KM SW SFP+ OPTICAL TRANSCEIVER,150122PILv,17,USED
CISCO,GLC-T-LL,SFP RJ45 1000BASE-T SFP 100M,150122PILv,16,USED
ERICSSON,RDH10250/1,SFP+ MM 10G SR,150122PILv,15,USED
CITRIX,FTLX8571D3BCVCTX,SFP 10G/1G DUAL MODE SR,150122PILv,15,USED
CISCO,SFP-10G-LR,CISCO SFP 10-2457-02 ,150122PILv,15,USED
NETCNA,SFP-8012C-L, OPTICAL TRANSCEIVER 1.25GB SFP 850NM,150122PILv,15,USED
AVAGO,AFCT-5715LZ,SFP,150122PILv,14,USED
AV,AFBR-703SDZ,SFP,150122PILv,14,USED
HUAWEI,02318169,LE0M0XSM88  - Optical Transceiver  - SFP+  - 10G  - Multi-mode Module (850nm  - 0.3km  - LC),150122PILv,14,USED
ERICSSON,RDH10265/2,OPTICAL TRANSCEIVER - SFP+ SM 10.3Gb/s 1.4km 1310nm -40/+85C 3.3V,150122PILv,14,USED
CISCO,10-1991-02,XENPAK-10GB-LX4,150122PILv,14,USED
ERICSSON,RDH9011055/1,100GBASE-LR4 CFP2 MODUL CDUX52423,150122PILv,13,USED
CISCO,XFP-10GLR-OC192SR,CISCO Multirate XFP Module for 10GBASE-LR And OC19,150122PILv,13,USED
CISCO,10-2410-01,XFP-10G-MM-SR,150122PILv,13,USED
HUAWEI,034060485,eSFP-SM1310-155M~2.5G-15km Optical Transceiver -eSFP -1310nm -155M~2.67G --5~0dBm --21dBm -LC -SM -15km.,150122PILv,13,USED
HP,FTLF8528P2BNV-H2,8Gb FC 850nm SFP+ Optical Transceiver AJ716A (AMX),150122PILv,13,USED
HP,AJ718A,SFP HP 8G SW FC SFP+,150122PILv,13,USED
AVAGO,AFCT-5710APZ,AFCT-5710APZ,150122PILv,12,USED
HUAWEI,S4017457,OSN010003 Optical Transceiver.CFP.850nm.10*10.3125Gb/s.-7.6dBm.2.4dBm.-5.4dBm.mpo.MM.0.1km,150122PILv,12,USED
CISCO,CVR-QSFP-SFP10G,SFP Adapter Module,150122PILv,12,USED
ERICSSON,RDH90120/D0210,SFP OPTICAL 1000 BASE-LX10 1310NM 1XFC SP-GB-LX-ID,150122PILv,12,USED
HUAWEI,034060634,OSN010001 Optical transceiver -CFP -1295/1300/1304/1309nm -103.125Gbps --4.3dBm -4.5dBm --8.6dBm -LC -SMF -10km,150122PILv,11,USED
CISCO,CFP-100G-SR10,100GBASE-SR10 CFP transceiver - 100m OM3 MMF,150122PILv,10,USED
ERICSSON,RDH90164/1,XFP-10GE-SR,150122PILv,10,USED
HUAWEI,02315204,Optical Transceiver -eSFP -GE -Multi-mode Module(850nm -0.55km -LC),150122PILv,10,USED
FINISAR,FCLF-8520-3-ER,TX/RX Optical Fiber 1.25Gbps 20-Pin,150122PILv,10,USED
NOKIA,3HE00035AA,7750 SR SFP - OC-3/STM-1 SFP OPTIC Module IR-1,150122PILv,10,USED
CISCO,X2-10GB-LR,CISCO 10GBASE-LR X2 Transceiver Module for SMF - 13,150122PILv,9,USED
CISCO,10-1747-01,10-1747-01 100/200-M5/M6-SN-I/1000BASE-SX GBIC - SN-SFP-FCGEMM-LC,150122PILv,9,USED
JDSU,PLRXPL-VI-S24-HW,SFP,150122PILv,9,USED
FINISAR,FTLF8524P2BNV-EC,SFP,150122PILv,9,USED
IBM,FTLF8528P2BCV-IB,IBM CORP SFP 8GB SW ,150122PILv,9,USED
OTHER,TRPA03I1AAXS-AL,SFP,150122PILv,8,USED
CISCO,CPAK-100G-SR10,CISCO SFP 800-41495-03G0,150122PILv,8,USED
FINISAR,FTLX8573D3BTL,TX/RX Optical Fiber 10.5Gbps 20-Pin,150122PILv,8,USED
LONGLINE,GLC-T-LL,SFP RJ45 1000BASE-T SFP 100M,150122PILv,8,USED
FINISAR,FCLF8520P2BTL-AL,1000BASE-T GEN2 RJ-45 COPPER SFP TRANSCEIVER,150122PILv,8,USED
AV,AFBR-57R5APZ,SFP 4.25Gb - 850nm -0.5Km,150122PILv,8,USED
HUAWEI,02311ASE,Optical transceiver-SFP+-850nm-8.5Gbps--8dBm--1.3dBm--11.2dBm-LC-MM-0.15km,150122PILv,8,USED
OTHER,RTMX191-400,Transceiver Module HUAWEI/Wtd RTXM191-400 1.25G-1310NM-10KM-SM-ESFP,150122PILv,8,USED
CISCO,10-2144-01,CISCO SFP-GE-L 1GB SFP TRANSCEIVER MODULE,150122PILv,8,USED
CISCO,SFP-OC3-IR1,OC3/STM1 SFP - Single-mode fiber - Intermediate Reac,150122PILv,8,USED
NOKIA,1AB375380007,SFP I-64.1/10GBASE-LR/LW,150122PILv,8,USED
CISCO,GLC-SX-MMD,GE SFP - LC connector SX Transceiver,150122PILv,7,USED
BROCADE,57-1000117-01,SFP,150122PILv,7,USED
AVAGO,AFBR-8420Z,SFP 850nm laser prod21cfr,150122PILv,7,USED
BROCADE,57-0000088-01,SFP 16G SW,150122PILv,7,USED
HUAWEI,034060327,eSFP-1310nm-I-16 Optical Transceiver -eSFP -1310nm -2.67Gb/s --9.5~-3dBm --18.0dBm -LC -SM -2km.,150122PILv,7,USED
AVAGO,AFBR-8422IDZ,SFP 850nm laser Prod 21cfr,150122PILv,6,USED
HUAWEI,034060709,OMND10N03 Optical Transceiver -CFP -850nm -10*10.3125Gb/s --7.6dBm --1dBm --5.4dBm -mpo -MM -0.1km,150122PILv,6,USED
HUAWEI,S4017483,OSX001002 Optical Transceiver(SFP+ -1310nm -10Gb/s --8.2~0.5dBm --12.6dBm -LC -SM -10km),150122PILv,6,USED
F5 NETWORKS,OPT-0016-00,10G F5-UPG-SFP+-R 10GBASE-SR SFP+ Transceiver ,150122PILv,6,USED
AVAGO,AFBR-703SDZ-SN1,SFP 10G BASE-SR 1000BASE -SX OPTICAL SFP,150122PILv,6,USED
EXTREME,QSFP+SR4,SFP Module USA EXTREME NETWORKS,150122PILv,6,USED
NOKIA,3HE00041AA,7750 SR SFP - OC-12/STM-4 SFP Optic Module IR-1,150122PILv,6,USED
HUAWEI,034060321,eSFP-850nm-1000Base-Sx Transceiver -ESFP -850nm -1.25Gb/s --2.5dBm --10dBm --17dBm -LC(-40~85) -0.55km -multimode.,150122PILv,5,USED
FINISAR,034060484,eSFP-1310nm-155M-2.5G-LC-SM-2km,150122PILv,5,USED
ERICSSON,RDH901018,SFP GPON OLT B+,150122PILv,5,USED
HUAWEI,034060475,SFP-GE-LX-SM1490-BIDI BiDi Transceiver -eSFP -Tx1490nm/Rx1310nm -1.25Gb/s --9dBm --3dBm --19.5dBm -LC -SM -10km.,150122PILv,5,USED
ERICSSON,RDH901002/1,100/1000 TX SSR - SFP ERICCSON FCLF8521BTL-EQ,150122PILv,5,USED
HUAWEI,034060713,OSV010N03 Optical Transceiver -SFP+ -1310nm -9.8G --8.2dBm~+0.5dBm --10.3dBm -LC -SM -1.4km,150122PILv,4,USED
HUAWEI,S4015772,OSX010N08 Optical Transceiver (XFP - 1310nm - 9.95~10.71Gb/s - -6dBm~-1dBm - -14.4dBm - Singlemode - LC - 10km),150122PILv,4,USED
NOKIA,SCP6G08-A1-ZME,SFP,150122PILv,4,USED
HP,A7446B,HP 4GB SHORT WAVE FIBRE CHANNEL SFP AFBR-57R5AEZ,150122PILv,4,USED
CISCO,30-1421-01,SFP-GE-T EXT,150122PILv,4,USED
MITSUBISHI,25FXD-001ZB,OPTO TRX SFP S-16.1 DDM,150122PILv,4,USED
CISCO,CVR-X2-SFP,CISCO 10GBASE-SR X2 Module,150122PILv,3,USED
FINISAR,FTLF8519P2BNL,SFP,150122PILv,3,USED
CISCO,GLC-TE,SFP 30.1475-01  RJ45,150122PILv,3,USED
OTHER,RPXM-192-466-C37,2.67G 1310NM 15KM Gigabit single-mode fiber optic module,150122PILv,3,USED
FINISAR,FTLX1412M3BCL,10GBASE-LR/OC-192 SR-1 10km XFP Optical Transceiver,150122PILv,2,USED
