VENDOR,PARTNUMBER,Description,LOCATION,QUANTITY,CONDITION
HUAWEI,03058118,ANDD03CXPA00 System Control -Cross-connect and Multi-protocol Process Unit,150122PILv,47,SPARE
HUAWEI,04040496,Trunk Cable -30mt -120ohm -1E1 -0.4mm -MP8-II -,150122PILv,230,SPARE
HUAWEI,04044337,Trunk Cable -155M/Clock -30mt -75ohm -3.9mm -SMB75SF-IV,150122PILv,366,SPARE
HUAWEI,04045658,SINGLE CABLE EXTERNAL CONNECT RF 2 MT ,150122PILv,360,SPARE
HUAWEI,04047780,RF Cable -2m -DIN50SM-II -COAX50-8.7/3.55 -DIN50SM-II -,150122PILv,0,SPARE
HUAWEI,04050386,LMA CABLE FOR BBU3900 DATA CAT5 USB,150122PILv,30,SPARE
HUAWEI,04070091,CABLE ALARM With Socket 26AWG 2P LVDS,150122PILv,4,SPARE
HUAWEI,04070244,Signal Cable -P&E Cable -70m -RP12SF(S) ETHERNET,150122PILv,25,SPARE
HUAWEI,04080276,CABLE FOR BBU 24AWG ALARM/MONITOR,150122PILv,44,SPARE
HUAWEI,04120119,Trunk Cable -20mt 120ohm -4E1 -0.4mm -D26M(3ROW) -120CC,150122PILv,10,SPARE
HUAWEI,04150302,POWER CABLE 0.7MT 2 -5*2L H07Z-K,150122PILv,1450,SPARE
HUAWEI,04150323,Power Cable 10M 2.5m LSZH,150122PILv,80,SPARE
HUAWEI,06040183,"WM1P0CIKVM02 KVM -KVM 4 in 1 Control Module -1U - 17"" LED - 8 KVM ports - With Power Cable -8 USB Straight signal cables/With mounting Accessories -English doc -110V/240V AC -Black -Compliant",150122PILv,2,SPARE
DELL,0YF1JW,2U Cable Management Arm -Customer Kit,150122PILv,90,SPARE
HUAWEI,2UCABLEMANAGEMENTARM,Assembly Kit,150122PILv,264,SPARE
ALCATEL,3AL78817AA,Service,150122PILv,0,SPARE
NOKIA,3AL78832AA,1660 SM Access Module for 21x2 Mbit/s 120 ohms,150122PILv,15,SPARE
NOKIA,3AL78849AA,1660 SM 3x34/45 Mbit/s HPROT,150122PILv,4,SPARE
NOKIA,3AL79088AC,1660SM TERMINATION BUS UNIT (Versiıons: AA01 - ),150122PILv,1,SPARE
NOKIA,3AL79088AC.AA01,3AL79088AC (version AA01),150122PILv,12,SPARE
NOKIA,3al79088acaa01,3AL79088AC (version AA01),150122PILv,0,SPARE
NOKIA,3AL79772AA,FAN UNIT FOR FAN SHELF 19,150122PILv,1,SPARE
NOKIA,3AL81502AA,1678-MCC POWER SUPPLY FILTER,150122PILv,7,SPARE
NOKIA,3AL92113AA,SSY-8XSTM1-4/8XOC3-12 PORT,150122PILv,0,SPARE
NOKIA,3AL98026AA,1662 SMC LPROT,150122PILv,13,SPARE
NOKIA,3AL98035AA,63X2MB/S PROT.120 OHM HM (4TE),150122PILv,3,SPARE
HUAWEI,3FE27505DA,Grounding Cable.2.5mm2 (3m),150122PILv,20,SPARE
NOKIA,3FE55849BA,7368 ISAM ONT G-080P-P - EU AC PLUG,150124TJKn,3,SPARE
ALCATEL,3FE64936AB,GPON 7360 ISAM FX Rack,150122PILv,0,SPARE
